Source,Indicator,Year,Month,State,Value,Unit
EPFO,Net number of subscribers,2021,Feb,Rajasthan,168966,Number
EPFO,Net number of subscribers,2021,Feb,Uttar Pradesh,180060,Number
EPFO,Net number of subscribers,2021,Feb,Bihar,151115,Number
EPFO,Net number of subscribers,2021,Feb,Sikkim,273498,Number
EPFO,Net number of subscribers,2021,Feb,Arunachal Pradesh,308400,Number
EPFO,Net number of subscribers,2021,Feb,Nagaland,192955,Number
EPFO,Net number of subscribers,2021,Feb,Manipur,285757,Number
EPFO,Net number of subscribers,2021,Feb,Mizoram,326529,Number
EPFO,Net number of subscribers,2021,Feb,Tripura,191282,Number
EPFO,Net number of subscribers,2021,Feb,Meghalaya,201632,Number
EPFO,Net number of subscribers,2021,Feb,Assam,282703,Number
EPFO,Net number of subscribers,2021,Feb,West Bengal,135579,Number
EPFO,Net number of subscribers,2021,Feb,Jharkhand,208821,Number
EPFO,Net number of subscribers,2021,Feb,Odisha,144924,Number
EPFO,Net number of subscribers,2021,Feb,Chhattisgarh,130109,Number
EPFO,Net number of subscribers,2021,Feb,Madhya Pradesh,169238,Number
EPFO,Net number of subscribers,2021,Feb,Gujarat,171317,Number
EPFO,Net number of subscribers,2021,Feb,Dadra and Nagar Haveli and Daman and Diu,209213,Number
EPFO,Net number of subscribers,2021,Feb,Maharashtra,172670,Number
EPFO,Net number of subscribers,2021,Feb,Andhra Pradesh,318877,Number
EPFO,Net number of subscribers,2021,Feb,Karnataka,247333,Number
EPFO,Net number of subscribers,2021,Feb,Goa,156178,Number
EPFO,Net number of subscribers,2021,Feb,Lakshadweep,150383,Number
EPFO,Net number of subscribers,2021,Feb,Kerala,269073,Number
EPFO,Net number of subscribers,2021,Feb,Tamil Nadu,182251,Number
EPFO,Net number of subscribers,2021,Feb,Puducherry,201171,Number
EPFO,Net number of subscribers,2021,Feb,Andaman and Nicobar Islands,162479,Number
EPFO,Net number of subscribers,2021,Feb,Telangana,213621,Number
EPFO,Net number of subscribers,2021,Feb,Ladakh,185014,Number
EPFO,Net number of subscribers,2021,Mar,India,8856613,Number
EPFO,Net number of subscribers,2021,Mar,Jammu and Kashmir,209713,Number
EPFO,Net number of subscribers,2021,Mar,Himachal Pradesh,270245,Number
EPFO,Net number of subscribers,2021,Mar,Punjab,209769,Number
EPFO,Net number of subscribers,2021,Mar,Chandigarh,239108,Number
EPFO,Net number of subscribers,2021,Mar,Uttarakhand,261820,Number
EPFO,Net number of subscribers,2021,Mar,Haryana,285306,Number
EPFO,Net number of subscribers,2021,Mar,Delhi,161014,Number
EPFO,Net number of subscribers,2021,Mar,Rajasthan,159619,Number
EPFO,Net number of subscribers,2021,Mar,Uttar Pradesh,177974,Number
EPFO,Net number of subscribers,2021,Mar,Bihar,157367,Number
EPFO,Net number of subscribers,2021,Mar,Sikkim,282374,Number
EPFO,Net number of subscribers,2021,Mar,Arunachal Pradesh,304844,Number
EPFO,Net number of subscribers,2021,Mar,Nagaland,201937,Number
EPFO,Net number of subscribers,2021,Mar,Manipur,294049,Number
EPFO,Net number of subscribers,2021,Mar,Mizoram,307338,Number
EPFO,Net number of subscribers,2021,Mar,Tripura,185674,Number
EPFO,Net number of subscribers,2021,Mar,Meghalaya,200732,Number
EPFO,Net number of subscribers,2021,Mar,Assam,294919,Number
EPFO,Net number of subscribers,2021,Mar,West Bengal,135701,Number
EPFO,Net number of subscribers,2021,Mar,Jharkhand,220916,Number
EPFO,Net number of subscribers,2021,Mar,Odisha,151420,Number
EPFO,Net number of subscribers,2021,Mar,Chhattisgarh,126854,Number
EPFO,Net number of subscribers,2021,Mar,Madhya Pradesh,174374,Number
EPFO,Net number of subscribers,2021,Mar,Gujarat,171289,Number
EPFO,Net number of subscribers,2021,Mar,Dadra and Nagar Haveli and Daman and Diu,208614,Number
EPFO,Net number of subscribers,2021,Mar,Maharashtra,170725,Number
EPFO,Net number of subscribers,2021,Mar,Andhra Pradesh,328244,Number
EPFO,Net number of subscribers,2021,Mar,Karnataka,248680,Number
EPFO,Net number of subscribers,2021,Mar,Goa,160013,Number
EPFO,Net number of subscribers,2021,Mar,Lakshadweep,141088,Number
EPFO,Net number of subscribers,2021,Mar,Kerala,265448,Number
EPFO,Net number of subscribers,2021,Mar,Tamil Nadu,183339,Number
EPFO,Net number of subscribers,2021,Mar,Puducherry,211077,Number
EPFO,Net number of subscribers,2021,Mar,Andaman and Nicobar Islands,160194,Number
EPFO,Net number of subscribers,2021,Mar,Telangana,213366,Number
EPFO,Net number of subscribers,2021,Mar,Ladakh,178103,Number
EPFO,Net number of subscribers,2021,Apr,India,8568731,Number
EPFO,Net number of subscribers,2021,Apr,Jammu and Kashmir,215632,Number
EPFO,Net number of subscribers,2021,Apr,Himachal Pradesh,273036,Number
EPFO,Net number of subscribers,2021,Apr,Punjab,209653,Number
EPFO,Net number of subscribers,2021,Apr,Chandigarh,236739,Number
EPFO,Net number of subscribers,2021,Apr,Uttarakhand,267960,Number
EPFO,Net number of subscribers,2021,Apr,Haryana,295580,Number
EPFO,Net number of subscribers,2021,Apr,Delhi,155358,Number
EPFO,Net number of subscribers,2021,Apr,Rajasthan,159170,Number
EPFO,Net number of subscribers,2021,Apr,Uttar Pradesh,179401,Number
EPFO,Net number of subscribers,2021,Apr,Bihar,156979,Number
EPFO,Net number of subscribers,2021,Apr,Sikkim,298564,Number
EPFO,Net number of subscribers,2021,Apr,Arunachal Pradesh,302745,Number
EPFO,Net number of subscribers,2021,Apr,Nagaland,200370,Number
EPFO,Net number of subscribers,2021,Apr,Manipur,293851,Number
EPFO,Net number of subscribers,2021,Apr,Mizoram,312391,Number
EPFO,Net number of subscribers,2021,Apr,Tripura,198066,Number
EPFO,Net number of subscribers,2021,Apr,Meghalaya,199439,Number
EPFO,Net number of subscribers,2021,Apr,Assam,284684,Number
EPFO,Net number of subscribers,2021,Apr,West Bengal,142036,Number
EPFO,Net number of subscribers,2021,Apr,Jharkhand,224378,Number
EPFO,Net number of subscribers,2021,Apr,Odisha,142249,Number
EPFO,Net number of subscribers,2021,Apr,Chhattisgarh,126827,Number
EPFO,Net number of subscribers,2021,Apr,Madhya Pradesh,178002,Number
EPFO,Net number of subscribers,2021,Apr,Gujarat,174167,Number
EPFO,Net number of subscribers,2021,Apr,Dadra and Nagar Haveli and Daman and Diu,204066,Number
EPFO,Net number of subscribers,2021,Apr,Maharashtra,168343,Number
EPFO,Net number of subscribers,2021,Apr,Andhra Pradesh,331418,Number
EPFO,Net number of subscribers,2021,Apr,Karnataka,244735,Number
EPFO,Net number of subscribers,2021,Apr,Goa,162692,Number
EPFO,Net number of subscribers,2021,Apr,Lakshadweep,146041,Number
EPFO,Net number of subscribers,2021,Apr,Kerala,274819,Number
EPFO,Net number of subscribers,2021,Apr,Tamil Nadu,184902,Number
EPFO,Net number of subscribers,2021,Apr,Puducherry,210074,Number
EPFO,Net number of subscribers,2021,Apr,Andaman and Nicobar Islands,163712,Number
EPFO,Net number of subscribers,2021,Apr,Telangana,222681,Number
EPFO,Net number of subscribers,2021,Apr,Ladakh,182286,Number
EPFO,Net number of subscribers,2021,May,India,8637273,Number
EPFO,Net number of subscribers,2021,May,Jammu and Kashmir,207833,Number
EPFO,Net number of subscribers,2021,May,Himachal Pradesh,268226,Number
EPFO,Net number of subscribers,2021,May,Punjab,211101,Number
EPFO,Net number of subscribers,2021,May,Chandigarh,242691,Number
EPFO,Net number of subscribers,2021,May,Uttarakhand,279734,Number
EPFO,Net number of subscribers,2021,May,Haryana,283806,Number
EPFO,Net number of subscribers,2021,May,Delhi,162663,Number
EPFO,Net number of subscribers,2021,May,Rajasthan,160145,Number
EPFO,Net number of subscribers,2021,May,Uttar Pradesh,177171,Number
EPFO,Net number of subscribers,2021,May,Bihar,161074,Number
EPFO,Net number of subscribers,2021,May,Sikkim,287366,Number
EPFO,Net number of subscribers,2021,May,Arunachal Pradesh,306307,Number
EPFO,Net number of subscribers,2021,May,Nagaland,194628,Number
EPFO,Net number of subscribers,2021,May,Manipur,300157,Number
EPFO,Net number of subscribers,2021,May,Mizoram,331672,Number
EPFO,Net number of subscribers,2021,May,Tripura,198366,Number
EPFO,Net number of subscribers,2021,May,Meghalaya,194890,Number
EPFO,Net number of subscribers,2021,May,Assam,280434,Number
EPFO,Net number of subscribers,2021,May,West Bengal,137937,Number
EPFO,Net number of subscribers,2021,May,Jharkhand,218236,Number
EPFO,Net number of subscribers,2021,May,Odisha,152589,Number
EPFO,Net number of subscribers,2021,May,Chhattisgarh,130515,Number
EPFO,Net number of subscribers,2021,May,Madhya Pradesh,176206,Number
EPFO,Net number of subscribers,2021,May,Gujarat,171174,Number
EPFO,Net number of subscribers,2021,May,Dadra and Nagar Haveli and Daman and Diu,217831,Number
EPFO,Net number of subscribers,2021,May,Maharashtra,171638,Number
EPFO,Net number of subscribers,2021,May,Andhra Pradesh,323008,Number
EPFO,Net number of subscribers,2021,May,Karnataka,249223,Number
EPFO,Net number of subscribers,2021,May,Goa,152702,Number
EPFO,Net number of subscribers,2021,May,Lakshadweep,151392,Number
EPFO,Net number of subscribers,2021,May,Kerala,284316,Number
EPFO,Net number of subscribers,2021,May,Tamil Nadu,197594,Number
EPFO,Net number of subscribers,2021,May,Puducherry,214220,Number
EPFO,Net number of subscribers,2021,May,Andaman and Nicobar Islands,160791,Number
EPFO,Net number of subscribers,2021,May,Telangana,225676,Number
EPFO,Net number of subscribers,2021,May,Ladakh,188435,Number
EPFO,Net number of subscribers,2021,Jun,India,8486664,Number
EPFO,Net number of subscribers,2021,Jun,Jammu and Kashmir,203879,Number
EPFO,Net number of subscribers,2021,Jun,Himachal Pradesh,281863,Number
EPFO,Net number of subscribers,2021,Jun,Punjab,226285,Number
EPFO,Net number of subscribers,2021,Jun,Chandigarh,245718,Number
EPFO,Net number of subscribers,2021,Jun,Uttarakhand,270444,Number
EPFO,Net number of subscribers,2021,Jun,Haryana,302814,Number
EPFO,Net number of subscribers,2021,Jun,Delhi,163966,Number
EPFO,Net number of subscribers,2021,Jun,Rajasthan,167426,Number
EPFO,Net number of subscribers,2021,Jun,Uttar Pradesh,190986,Number
EPFO,Net number of subscribers,2021,Jun,Bihar,154282,Number
EPFO,Net number of subscribers,2021,Jun,Sikkim,294450,Number
EPFO,Net number of subscribers,2021,Jun,Arunachal Pradesh,314200,Number
EPFO,Net number of subscribers,2021,Jun,Nagaland,207153,Number
EPFO,Net number of subscribers,2021,Jun,Manipur,299041,Number
EPFO,Net number of subscribers,2021,Jun,Mizoram,320791,Number
EPFO,Net number of subscribers,2021,Jun,Tripura,187309,Number
EPFO,Net number of subscribers,2021,Jun,Meghalaya,199285,Number
EPFO,Net number of subscribers,2021,Jun,Assam,292256,Number
EPFO,Net number of subscribers,2021,Jun,West Bengal,146475,Number
EPFO,Net number of subscribers,2021,Jun,Jharkhand,216218,Number
EPFO,Net number of subscribers,2021,Jun,Odisha,152210,Number
EPFO,Net number of subscribers,2021,Jun,Chhattisgarh,136432,Number
EPFO,Net number of subscribers,2021,Jun,Madhya Pradesh,176846,Number
EPFO,Net number of subscribers,2021,Jun,Gujarat,181810,Number
EPFO,Net number of subscribers,2021,Jun,Dadra and Nagar Haveli and Daman and Diu,216779,Number
EPFO,Net number of subscribers,2021,Jun,Maharashtra,174874,Number
EPFO,Net number of subscribers,2021,Jun,Andhra Pradesh,323585,Number
EPFO,Net number of subscribers,2021,Jun,Karnataka,254847,Number
EPFO,Net number of subscribers,2021,Jun,Goa,159845,Number
EPFO,Net number of subscribers,2021,Jun,Lakshadweep,153569,Number
EPFO,Net number of subscribers,2021,Jun,Kerala,289376,Number
EPFO,Net number of subscribers,2021,Jun,Tamil Nadu,199422,Number
EPFO,Net number of subscribers,2021,Jun,Puducherry,206838,Number
EPFO,Net number of subscribers,2021,Jun,Andaman and Nicobar Islands,167513,Number
EPFO,Net number of subscribers,2021,Jun,Telangana,217483,Number
EPFO,Net number of subscribers,2021,Jun,Ladakh,182340,Number
EPFO,Net number of subscribers,2021,Jul,India,9098383,Number
EPFO,Net number of subscribers,2021,Jul,Jammu and Kashmir,214504,Number
EPFO,Net number of subscribers,2021,Jul,Himachal Pradesh,287171,Number
EPFO,Net number of subscribers,2021,Jul,Punjab,227922,Number
EPFO,Net number of subscribers,2021,Jul,Chandigarh,247673,Number
EPFO,Net number of subscribers,2021,Jul,Uttarakhand,269788,Number
EPFO,Net number of subscribers,2021,Jul,Haryana,295060,Number
EPFO,Net number of subscribers,2021,Jul,Delhi,162362,Number
EPFO,Net number of subscribers,2021,Jul,Rajasthan,167877,Number
EPFO,Net number of subscribers,2021,Jul,Uttar Pradesh,188157,Number
EPFO,Net number of subscribers,2021,Jul,Bihar,165741,Number
EPFO,Net number of subscribers,2021,Jul,Sikkim,305117,Number
EPFO,Net number of subscribers,2021,Jul,Arunachal Pradesh,314876,Number
EPFO,Net number of subscribers,2021,Jul,Nagaland,196817,Number
EPFO,Net number of subscribers,2021,Jul,Manipur,304638,Number
EPFO,Net number of subscribers,2021,Jul,Mizoram,322956,Number
EPFO,Net number of subscribers,2021,Jul,Tripura,190237,Number
EPFO,Net number of subscribers,2021,Jul,Meghalaya,207860,Number
EPFO,Net number of subscribers,2021,Jul,Assam,282233,Number
EPFO,Net number of subscribers,2021,Jul,West Bengal,137350,Number
EPFO,Net number of subscribers,2021,Jul,Jharkhand,226289,Number
EPFO,Net number of subscribers,2021,Jul,Odisha,151823,Number
EPFO,Net number of subscribers,2021,Jul,Chhattisgarh,129807,Number
EPFO,Net number of subscribers,2021,Jul,Madhya Pradesh,183878,Number
EPFO,Net number of subscribers,2021,Jul,Gujarat,180332,Number
EPFO,Net number of subscribers,2021,Jul,Dadra and Nagar Haveli and Daman and Diu,214995,Number
EPFO,Net number of subscribers,2021,Jul,Maharashtra,171160,Number
EPFO,Net number of subscribers,2021,Jul,Andhra Pradesh,334168,Number
EPFO,Net number of subscribers,2021,Jul,Karnataka,257285,Number
EPFO,Net number of subscribers,2021,Jul,Goa,160878,Number
EPFO,Net number of subscribers,2021,Jul,Lakshadweep,153612,Number
EPFO,Net number of subscribers,2021,Jul,Kerala,282895,Number
EPFO,Net number of subscribers,2021,Jul,Tamil Nadu,190197,Number
EPFO,Net number of subscribers,2021,Jul,Puducherry,209643,Number
EPFO,Net number of subscribers,2021,Jul,Andaman and Nicobar Islands,175653,Number
EPFO,Net number of subscribers,2021,Jul,Telangana,226945,Number
EPFO,Net number of subscribers,2021,Jul,Ladakh,194042,Number
EPFO,Net number of subscribers,2021,Aug,India,8673724,Number
EPFO,Net number of subscribers,2021,Aug,Jammu and Kashmir,218886,Number
EPFO,Net number of subscribers,2021,Aug,Himachal Pradesh,270847,Number
EPFO,Net number of subscribers,2021,Aug,Punjab,217959,Number
EPFO,Net number of subscribers,2021,Aug,Chandigarh,247075,Number
EPFO,Net number of subscribers,2021,Aug,Uttarakhand,271918,Number
EPFO,Net number of subscribers,2021,Aug,Haryana,303702,Number
EPFO,Net number of subscribers,2021,Aug,Delhi,156656,Number
EPFO,Net number of subscribers,2021,Aug,Rajasthan,170628,Number
EPFO,Net number of subscribers,2021,Aug,Uttar Pradesh,194530,Number
EPFO,Net number of subscribers,2021,Aug,Bihar,156698,Number
EPFO,Net number of subscribers,2021,Aug,Sikkim,300579,Number
EPFO,Net number of subscribers,2021,Aug,Arunachal Pradesh,318003,Number
EPFO,Net number of subscribers,2021,Aug,Nagaland,213990,Number
EPFO,Net number of subscribers,2021,Aug,Manipur,315651,Number
EPFO,Net number of subscribers,2021,Aug,Mizoram,333036,Number
EPFO,Net number of subscribers,2021,Aug,Tripura,200805,Number
EPFO,Net number of subscribers,2021,Aug,Meghalaya,198469,Number
EPFO,Net number of subscribers,2021,Aug,Assam,306613,Number
EPFO,Net number of subscribers,2021,Aug,West Bengal,144626,Number
EPFO,Net number of subscribers,2021,Aug,Jharkhand,225308,Number
EPFO,Net number of subscribers,2021,Aug,Odisha,151910,Number
EPFO,Net number of subscribers,2021,Aug,Chhattisgarh,131894,Number
EPFO,Net number of subscribers,2021,Aug,Madhya Pradesh,184204,Number
EPFO,Net number of subscribers,2021,Aug,Gujarat,177670,Number
EPFO,Net number of subscribers,2021,Aug,Dadra and Nagar Haveli and Daman and Diu,217040,Number
EPFO,Net number of subscribers,2021,Aug,Maharashtra,179656,Number
EPFO,Net number of subscribers,2021,Aug,Andhra Pradesh,330517,Number
EPFO,Net number of subscribers,2021,Aug,Karnataka,250810,Number
EPFO,Net number of subscribers,2021,Aug,Goa,156172,Number
EPFO,Net number of subscribers,2021,Aug,Lakshadweep,150146,Number
EPFO,Net number of subscribers,2021,Aug,Kerala,277509,Number
EPFO,Net number of subscribers,2021,Aug,Tamil Nadu,189651,Number
EPFO,Net number of subscribers,2021,Aug,Puducherry,212803,Number
EPFO,Net number of subscribers,2021,Aug,Andaman and Nicobar Islands,165307,Number
EPFO,Net number of subscribers,2021,Aug,Telangana,223146,Number
EPFO,Net number of subscribers,2021,Aug,Ladakh,188242,Number
EPFO,Net number of subscribers,2021,Sep,India,8805208,Number
EPFO,Net number of subscribers,2021,Sep,Jammu and Kashmir,220451,Number
EPFO,Net number of subscribers,2021,Sep,Himachal Pradesh,270457,Number
EPFO,Net number of subscribers,2021,Sep,Punjab,221261,Number
EPFO,Net number of subscribers,2021,Sep,Chandigarh,251109,Number
EPFO,Net number of subscribers,2021,Sep,Uttarakhand,279959,Number
EPFO,Net number of subscribers,2021,Sep,Haryana,298744,Number
EPFO,Net number of subscribers,2021,Sep,Delhi,165765,Number
EPFO,Net number of subscribers,2021,Sep,Rajasthan,168287,Number
EPFO,Net number of subscribers,2021,Sep,Uttar Pradesh,193148,Number
EPFO,Net number of subscribers,2021,Sep,Bihar,165917,Number
EPFO,Net number of subscribers,2021,Sep,Sikkim,294753,Number
EPFO,Net number of subscribers,2021,Sep,Arunachal Pradesh,337119,Number
EPFO,Net number of subscribers,2021,Sep,Nagaland,215451,Number
EPFO,Net number of subscribers,2021,Sep,Manipur,306097,Number
EPFO,Net number of subscribers,2021,Sep,Mizoram,327305,Number
EPFO,Net number of subscribers,2021,Sep,Tripura,202221,Number
EPFO,Net number of subscribers,2021,Sep,Meghalaya,200049,Number
EPFO,Net number of subscribers,2021,Sep,Assam,298809,Number
EPFO,Net number of subscribers,2021,Sep,West Bengal,144964,Number
EPFO,Net number of subscribers,2021,Sep,Jharkhand,220271,Number
EPFO,Net number of subscribers,2021,Sep,Odisha,151492,Number
EPFO,Net number of subscribers,2021,Sep,Chhattisgarh,130429,Number
EPFO,Net number of subscribers,2021,Sep,Madhya Pradesh,181846,Number
EPFO,Net number of subscribers,2021,Sep,Gujarat,175126,Number
EPFO,Net number of subscribers,2021,Sep,Dadra and Nagar Haveli and Daman and Diu,218839,Number
EPFO,Net number of subscribers,2021,Sep,Maharashtra,182921,Number
EPFO,Net number of subscribers,2021,Sep,Andhra Pradesh,326195,Number
EPFO,Net number of subscribers,2021,Sep,Karnataka,246412,Number
EPFO,Net number of subscribers,2021,Sep,Goa,163165,Number
EPFO,Net number of subscribers,2021,Sep,Lakshadweep,157204,Number
EPFO,Net number of subscribers,2021,Sep,Kerala,285170,Number
EPFO,Net number of subscribers,2021,Sep,Tamil Nadu,194303,Number
EPFO,Net number of subscribers,2021,Sep,Puducherry,221882,Number
EPFO,Net number of subscribers,2021,Sep,Andaman and Nicobar Islands,174880,Number
EPFO,Net number of subscribers,2021,Sep,Telangana,233604,Number
EPFO,Net number of subscribers,2021,Sep,Ladakh,188735,Number
EPFO,Net number of subscribers,2021,Oct,India,9001113,Number
EPFO,Net number of subscribers,2021,Oct,Jammu and Kashmir,217716,Number
EPFO,Net number of subscribers,2021,Oct,Himachal Pradesh,275650,Number
EPFO,Net number of subscribers,2021,Oct,Punjab,220189,Number
EPFO,Net number of subscribers,2021,Oct,Chandigarh,252384,Number
EPFO,Net number of subscribers,2021,Oct,Uttarakhand,290049,Number
EPFO,Net number of subscribers,2021,Oct,Haryana,310231,Number
EPFO,Net number of subscribers,2021,Oct,Delhi,164406,Number
EPFO,Net number of subscribers,2021,Oct,Rajasthan,171742,Number
EPFO,Net number of subscribers,2021,Oct,Uttar Pradesh,191270,Number
EPFO,Net number of subscribers,2021,Oct,Bihar,162319,Number
EPFO,Net number of subscribers,2021,Oct,Sikkim,291604,Number
EPFO,Net number of subscribers,2021,Oct,Arunachal Pradesh,331928,Number
EPFO,Net number of subscribers,2021,Oct,Nagaland,206682,Number
EPFO,Net number of subscribers,2021,Oct,Manipur,304260,Number
EPFO,Net number of subscribers,2021,Oct,Mizoram,336017,Number
EPFO,Net number of subscribers,2021,Oct,Tripura,195311,Number
EPFO,Net number of subscribers,2021,Oct,Meghalaya,207249,Number
EPFO,Net number of subscribers,2021,Oct,Assam,291351,Number
EPFO,Net number of subscribers,2021,Oct,West Bengal,148283,Number
EPFO,Net number of subscribers,2021,Oct,Jharkhand,230996,Number
EPFO,Net number of subscribers,2021,Oct,Odisha,148954,Number
EPFO,Net number of subscribers,2021,Oct,Chhattisgarh,138612,Number
EPFO,Net number of subscribers,2021,Oct,Madhya Pradesh,183616,Number
EPFO,Net number of subscribers,2021,Oct,Gujarat,183968,Number
EPFO,Net number of subscribers,2021,Oct,Dadra and Nagar Haveli and Daman and Diu,219293,Number
EPFO,Net number of subscribers,2021,Oct,Maharashtra,178217,Number
EPFO,Net number of subscribers,2021,Oct,Andhra Pradesh,340594,Number
EPFO,Net number of subscribers,2021,Oct,Karnataka,246133,Number
EPFO,Net number of subscribers,2021,Oct,Goa,166306,Number
EPFO,Net number of subscribers,2021,Oct,Lakshadweep,151131,Number
EPFO,Net number of subscribers,2021,Oct,Kerala,303096,Number
EPFO,Net number of subscribers,2021,Oct,Tamil Nadu,192659,Number
EPFO,Net number of subscribers,2021,Oct,Puducherry,221330,Number
EPFO,Net number of subscribers,2021,Oct,Andaman and Nicobar Islands,168368,Number
EPFO,Net number of subscribers,2021,Oct,Telangana,222782,Number
EPFO,Net number of subscribers,2021,Oct,Ladakh,193448,Number
EPFO,Net number of subscribers,2021,Nov,India,9512782,Number
EPFO,Net number of subscribers,2021,Nov,Jammu and Kashmir,214937,Number
EPFO,Net number of subscribers,2021,Nov,Himachal Pradesh,290141,Number
EPFO,Net number of subscribers,2021,Nov,Punjab,232702,Number
EPFO,Net number of subscribers,2021,Nov,Chandigarh,256508,Number
EPFO,Net number of subscribers,2021,Nov,Uttarakhand,295875,Number
EPFO,Net number of subscribers,2021,Nov,Haryana,311181,Number
EPFO,Net number of subscribers,2021,Nov,Delhi,171622,Number
EPFO,Net number of subscribers,2021,Nov,Rajasthan,177124,Number
EPFO,Net number of subscribers,2021,Nov,Uttar Pradesh,187849,Number
EPFO,Net number of subscribers,2021,Nov,Bihar,170159,Number
EPFO,Net number of subscribers,2021,Nov,Sikkim,309237,Number
EPFO,Net number of subscribers,2021,Nov,Arunachal Pradesh,322126,Number
EPFO,Net number of subscribers,2021,Nov,Nagaland,206954,Number
EPFO,Net number of subscribers,2021,Nov,Manipur,318996,Number
EPFO,Net number of subscribers,2021,Nov,Mizoram,340377,Number
EPFO,Net number of subscribers,2021,Nov,Tripura,204383,Number
EPFO,Net number of subscribers,2021,Nov,Meghalaya,208287,Number
EPFO,Net number of subscribers,2021,Nov,Assam,305559,Number
EPFO,Net number of subscribers,2021,Nov,West Bengal,145403,Number
EPFO,Net number of subscribers,2021,Nov,Jharkhand,224059,Number
EPFO,Net number of subscribers,2021,Nov,Odisha,157444,Number
EPFO,Net number of subscribers,2021,Nov,Chhattisgarh,135132,Number
EPFO,Net number of subscribers,2021,Nov,Madhya Pradesh,177604,Number
EPFO,Net number of subscribers,2021,Nov,Gujarat,182587,Number
EPFO,Net number of subscribers,2021,Nov,Dadra and Nagar Haveli and Daman and Diu,221434,Number
EPFO,Net number of subscribers,2021,Nov,Maharashtra,179376,Number
EPFO,Net number of subscribers,2021,Nov,Andhra Pradesh,349201,Number
EPFO,Net number of subscribers,2021,Nov,Karnataka,256717,Number
EPFO,Net number of subscribers,2021,Nov,Goa,171777,Number
EPFO,Net number of subscribers,2021,Nov,Lakshadweep,160454,Number
EPFO,Net number of subscribers,2021,Nov,Kerala,304731,Number
EPFO,Net number of subscribers,2021,Nov,Tamil Nadu,203181,Number
EPFO,Net number of subscribers,2021,Nov,Puducherry,211532,Number
EPFO,Net number of subscribers,2021,Nov,Andaman and Nicobar Islands,178982,Number
EPFO,Net number of subscribers,2021,Nov,Telangana,226306,Number
EPFO,Net number of subscribers,2021,Nov,Ladakh,189155,Number
EPFO,Net number of subscribers,2021,Dec,India,9018901,Number
